dataset	taxaID	locus	gene	score	essentiality	pmid	Ref_db
110	7227	FBgn0000767	fs(1)A1024	1	E	NULL	flybase
110	7227	FBgn0000768	fs(1)A1042	1	E	NULL	flybase
110	7227	FBgn0000770	fs(1)A1074	1	E	NULL	flybase
110	7227	FBgn0000771	fs(1)A1140	1	E	NULL	flybase
110	7227	FBgn0000773	fs(1)A1187	1	E	NULL	flybase
110	7227	FBgn0000774	fs(1)A1242	1	E	NULL	flybase
110	7227	FBgn0000775	fs(1)A1245	1	E	NULL	flybase
110	7227	FBgn0000778	fs(1)A1371	1	E	NULL	flybase
110	7227	FBgn0000779	fs(1)A1459	1	E	NULL	flybase
110	7227	FBgn0000780	fs(1)A1509	1	E	NULL	flybase
110	7227	FBgn0000782	fs(1)A1528	1	E	NULL	flybase
110	7227	FBgn0000783	fs(1)A1559	1	E	NULL	flybase
110	7227	FBgn0000785	fs(1)A1578	1	E	NULL	flybase
110	7227	FBgn0000808	gd	0.84	C	NULL	flybase
110	7227	FBgn0000810	fs(1)K10	1	E	NULL	flybase
110	7227	FBgn0000811	fs(1)K79	1	E	NULL	flybase
110	7227	FBgn0000813	fs(1)K163	1	E	NULL	flybase
110	7227	FBgn0000814	fs(1)K254	1	E	NULL	flybase
110	7227	FBgn0000824	fs(1)K1563	0	NE	NULL	flybase
110	7227	FBgn0000826	png	0.669	C	NULL	flybase
110	7227	FBgn0000829	fs(1)M8	1	E	NULL	flybase
110	7227	FBgn0000830	fs(1)M11	1	E	NULL	flybase
110	7227	FBgn0000831	fs(1)M13	1	E	NULL	flybase
110	7227	FBgn0000833	fs(1)M15	1	E	NULL	flybase
110	7227	FBgn0000834	fs(1)M17	1	E	NULL	flybase
110	7227	FBgn0000836	fs(1)M20	1	E	NULL	flybase
110	7227	FBgn0000837	fs(1)M21	1	E	NULL	flybase
110	7227	FBgn0000838	fs(1)M24	1	E	NULL	flybase
110	7227	FBgn0000839	fs(1)M26	1	E	NULL	flybase
110	7227	FBgn0000840	fs(1)M27	1	E	NULL	flybase
110	7227	FBgn0000841	fs(1)M28	1	E	NULL	flybase
110	7227	FBgn0000842	fs(1)M29	1	E	NULL	flybase
110	7227	FBgn0000844	fs(1)M31	1	E	NULL	flybase
110	7227	FBgn0000845	fs(1)M32	1	E	NULL	flybase
110	7227	FBgn0000848	fs(1)M36	1	E	NULL	flybase
110	7227	FBgn0000850	fs(1)M39	1	E	NULL	flybase
110	7227	FBgn0000851	fs(1)M40	1	E	NULL	flybase
110	7227	FBgn0000852	fs(1)M41	1	E	NULL	flybase
110	7227	FBgn0000853	fs(1)M43	1	E	NULL	flybase
110	7227	FBgn0000854	fs(1)M46	1	E	NULL	flybase
110	7227	FBgn0000859	fs(1)M53	1	E	NULL	flybase
110	7227	FBgn0000860	fs(1)M54	1	E	NULL	flybase
110	7227	FBgn0000862	fs(1)M56	1	E	NULL	flybase
110	7227	FBgn0000863	fs(1)M57	1	E	NULL	flybase
110	7227	FBgn0000864	fs(1)M58	1	E	NULL	flybase
110	7227	FBgn0000865	fs(1)M59	1	E	NULL	flybase
110	7227	FBgn0000867	fs(1)M62	1	E	NULL	flybase
110	7227	FBgn0000868	fs(1)M63	1	E	NULL	flybase
110	7227	FBgn0000869	fs(1)M64	1	E	NULL	flybase
110	7227	FBgn0000870	fs(1)M65	1	E	NULL	flybase
110	7227	FBgn0000872	fs(1)M68	1	E	NULL	flybase
110	7227	FBgn0000873	fs(1)M70	1	E	NULL	flybase
110	7227	FBgn0000875	fs(1)M73	1	E	NULL	flybase
110	7227	FBgn0000876	fs(1)M74	1	E	NULL	flybase
110	7227	FBgn0000878	fs(1)M76	1	E	NULL	flybase
110	7227	FBgn0000879	fs(1)M77	1	E	NULL	flybase
110	7227	FBgn0000880	fs(1)M78	1	E	NULL	flybase
110	7227	FBgn0000881	fs(1)M79	1	E	NULL	flybase
110	7227	FBgn0000883	fs(1)M81	1	E	NULL	flybase
110	7227	FBgn0000884	fs(1)M82	1	E	NULL	flybase
110	7227	FBgn0000885	fs(1)M83	1	E	NULL	flybase
110	7227	FBgn0000886	fs(1)M84	1	E	NULL	flybase
